,text,embeddings,distances
92,"June 19 – The second round of the 2022 Colombian presidential election is held, and former guerrilla fighter for the 19th of April Movement and incumbent senator, Gustavo Petro, defeats businessman and former mayor of Bucaramanga, Rodolfo Hernández Suárez.","[-0.0316311  -0.01056579  0.01657119 ... -0.00407983  0.00354624
  0.01356187]",0.2512398575851218
93,"June 22 – A 6.2 earthquake strikes the Durand Line between Afghanistan and Pakistan, killing at least 1,163 people.","[-0.00170658 -0.0026652   0.00212138 ...  0.00606202 -0.0001972
 -0.02000205]",0.24330614865132683
94,"June 23 – Dickon Mitchell's party wins a majority of seats in Grenada's general election, defeating Prime Minister Keith Mitchell's party. Mitchell is appointed Prime Minister of Grenada, following Keith Mitchell's resignation on June 24.","[-0.01236525 -0.00298937 -0.02363868 ... -0.01412796  0.00318997
 -0.0011502 ]",0.26920624951357164
95,June 26 – G7 leaders gather for a summit in Germany to discuss the situation in Ukraine. A ban on imports of Russian gold is announced.,"[ 0.00035516 -0.01176092  0.00376388 ...  0.00549737  0.01575785
 -0.02304937]",0.1638164382950189
96,"June 27 – 53 migrants from Mexico, Honduras, Guatemala, and El Salvador are found dead in a tractor trailer in San Antonio, Texas, United States.","[ 0.00024027 -0.01002631  0.0089207  ... -0.00282879  0.0060777
 -0.00027068]",0.252569055084104
97,"June 28 – June 30 – A NATO summit is held in Madrid, Spain along with the presence of guest countries from the European Union and the Indo-Pacific primarily searching for a consensual defensive reinforcement after the Russian invasion of Ukraine and the sustained threatening over the territorial integrity of other countries.","[-0.01424286 -0.02106339  0.02425967 ... -0.00197762  0.00187397
 -0.00976271]",0.20467618416614108
98,"July 1 – Yair Lapid succeeds Naftali Bennett as Prime Minister of Israel, while Bennett succeeds Lapid as Alternate Prime Minister of Israel; this arrangement had been created after the 2021 Israeli legislative election, in which no party won an outright majority.","[-0.00413227 -0.01465195 -0.02259059 ...  0.0021085  -0.00141599
 -0.02057008]",0.266876747769605
99,"July 6 – July 31 – UEFA Women's Euro 2022 is held in England, with the hosts winning their first major tournament since 1966.","[ 0.00319446 -0.02447035  0.00050875 ... -0.00022065  0.02165607
 -0.01930874]",0.23303832501137833
100,"July 7 – July 17 – The 2022 World Games is held in Birmingham, Alabama, United States.","[-0.00401404 -0.01783453 -0.00247543 ... -0.01553535  0.03048637
 -0.0114832 ]",0.26642722156660503
101,"July 7 – After revelations over his appointment of Chris Pincher as Deputy Chief Whip triggered a series of resignations from his government, UK Prime Minister Boris Johnson announces his intention to resign, triggering the July–September 2022 Conservative Party leadership election.","[-0.00718131 -0.01094627 -0.02639274 ...  0.00682003  0.01096528
 -0.00850602]",0.25430017114855297
